Categoria itinerario,Città,Località,Via,Cap,Provincia,Regione,Sito/definizione manufatto,Epoca prima attestazione,Itinerario (periodo),Informazioni,URL immagine,Bibliografia,Sitografia,Tipologia edificio,Rifunzionalizzato,Tipo di rifunzionalizzazione,Latitude,Longitude
culturale,Nocera Inferiore,Collina Del Parco,Via Del Parco,84014,SA,Campania,Castello del Parco,994,Medievale,"Il castello fu molto importante sin dalla sua fondazione. infatti non solo rappresentò un punto strategico sia per i longobardi e poi per gli angioini, ma nelle sue stanze soggiornavano personaggi del calibro di dante e boccaccio. nel '521 fu acquistato con la città dal duca tiberio corofa, tuttavia dopo la sua morte venne del tutto abbandonato fino al '800 quando venne riacquistato dai fienga. ad oggi è di proprietà del comune.",https://upload.wikimedia.org/wikipedia/commons/a/a3/TorreNormannaNocera.jpg,"Corolla a, fiorillo r. (eds.), nocera. il castello dello scisma d'occidente, firenze 2010.",NULL,"Rudere, residenza signorile",Si,NULL,40.74970319867134,14.642455279827118
culturale,Nocera Inferiore,Vescovado,Via S. Prisco,84014,SA,Campania,Chiesa\Cattedrale,955 d.C,Medievale,"Dalle pergamene cavesi si ha testimonianza dell esistenza di una chiesa dedicata a s.prisco,situata nel luogo dell'attuale cattedrale,già nel 955 d.c. nel corso poi del xiii secolo la chiesa incominciò a crescere notevolmente,inoltre il 10 ottobre 1384 papa urbano vi conferì alla città ed al sito ecclesiastico la dignità di sede vescocile.",https://upload.wikimedia.org/wikipedia/commons/c/c1/CattedraleNocera.jpg,"Ruggiero g.,l'abbazia di san prisco di nocera: ipotesi interpretative e prospettive di ricerca,in rassegna storica salernitana,n.52,n.s.26/2,p.p. 11/56.",NULL,Edificio religioso,No,NULL,40.73801815509796,14.65237408876419
culturale,Nocera Inferiore,Collina Del Parco,Via S. Anna,84014,SA,Campania,Convento,1282,Medievale,"Appartenuti da sempre alle suore domenicane la chiesa e il convento di s.anna furono costruiti nel 1282,su commissione del vescovo di capaccio pietro nonchè consigliere del re angioino carlo ii. le sue imponenti dimensioni mostrano le tracce di una serie di trasformazioni,la più importante delle quali è quella del 1685-1686,dovuta alle conseguenze di un disastroso terremoto. infatti delle originarie forme gotiche restano tracce nelle mura esterne,in alcuni settori del convento e un bel portale d'ingresso alla chiesa. inoltre ci rimangono alcuni affreschi del tardo '300 e primo '400.",https://upload.wikimedia.org/wikipedia/commons/5/56/ChiesaSanna.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.749696493148804,14.639217853546144
culturale,Nocera Inferiore,Centro,Corso Vittorio Emanuele Ii,84014,SA,Campania,Area archeologica,II a. C. - V d. C.,Antico,Il sito di piazza del corso è stato oggetto di indagini archeologiche  nel 1991. durante gli scavi furono portati alle luce una serie di strutture realizzate tra  il ii secolo a.c e il v secolo d.c. nel 2015 durante la sistemazione dell'area furono effettuate nuove indagini i cui risultati sono ancora in corso di studio.,https://upload.wikimedia.org/wikipedia/commons/c/c4/PiazzadelCorso01.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Area archeologica,No,NULL,40.74289977550507,14.63829517364502
culturale,Nocera Inferiore,Centro,Corso Vittorio Emanuele Ii,84014,SA,Campania,Edicola funeraria di Fructus,Fonti sconosciute,Antico,Edicola funeraria di epoca romana appartenuta ad un tale chiamato fructus. ad oggi non ci restano che pochi resti ed un iscrizione in latino.,http://spod.databenc.it:8001/images/5d2e753f-cd0a-4928-a53d-442549a18173/fructus.JPG,"Fortunato m., kajava m., magalhaes m.m.. su un edicola con iscrizione inedita di nuceria costantia, in oebalus : studi sulla campania nell'antichità.. 1, pp. 144-155, fig. 2 p. 147 .",NULL,Stele funeraria,Si,Museo cittadino,40.742673128843315,14.639877676963808
culturale,Nocera Inferiore,Borgo,Via F. Solimena,84014,SA,Campania,Convento,1515,Moderno,"Costruito molto probabilmente nel 1515,appartenne ai frati benedettini virginiani;dal 1716 divenne un abbazia dipendente da montevergine. tra il 1740 ed il 1759 fu completamente ristrutturato su commisione di   mons. nicola letizia. nel 1807,soppresso il monastero, l'edifico fu acquistato da costantino amato,padre del letterato saverio costantino,che vi ospitò nel 1815 murat fuggiasco. oggi purtroppo è quasi del tutto abbandonato e rimangono solamente pochi elementi decorativi.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Ex edificio religioso,Si,Edificio per civili abitazioni (post 1806),40.74831783771515,14.639450199902058
culturale,Nocera Inferiore,Collina Del Parco,Via Del Parco,84014,SA,Campania,Convento,1563,Moderno,"Costruito nel 1563, il convento di s. andrea fu voluto dal duca alfonso i carrafa,il quale lo affidò ai frati cappuccini. subì un importante restauro nel 1614,tuttavvia ad oggi di tutte le opere che lo abbellivano, ci rimane solo la tomba di alfonso carrafa,eretta nell'atrio del convento nel 1581.",https://upload.wikimedia.org/wikipedia/commons/a/a7/SantAndreaNocera5.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.7472133,14.6433202
culturale,Nocera Inferiore,Mercato,Via Piazza S. Antonio,84014,SA,Campania,Chiesa\Convento,1256-1290,Medievale,"La costruzione della chiesa di s.antonio,originariamente dedicata a s.francesco,incominciò nel 1256 per poi finire nel  1286. tuttavia subì importanti restauri, in particolare nel 1500 ad opera di alfonso carrafa,nel 1700 con l'aggiunta di alcune camere nel vicino convento ed infine nel 1829-31 su progetto dell'architetto giovanni rosalba. inoltre non bisogna dimenticare la presenza di una pinacoteca nell'ala più antica del convento,dove si trovano reperti archeologici di epoca romana.",https://upload.wikimedia.org/wikipedia/commons/b/b5/ChiesaSAntonio.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.747153759002686,14.645808041095734
culturale,Nocera Inferiore,S. Chiara,Via Raffaele Libroia,84014,SA,Campania,Chiesa\Convento,1283,Medievale,"La chiesa di santa chiara appartenuta da sempre alle clarisse,risale agli ultimi anni del '200 e ha avuto per secoli una notevle importanza come centro di spiritualità ed anche per le ricchezze accumulate. soppresso dopo l'unità,fu nel 1905 riacquistato dalle suore,che peraltro non l'avevano mai abbandonato. la parte più esterna della costruzione presenta un portale classicheggiante,che porta ad un raccolto cortile in fondo a cui si trova la chiesa e, sulla destra,il monastero.",http://spod.databenc.it:44588/images/5d2e753f-cd0a-4928-a53d-442549a18173/260px-SantaChiaraNocera2.jpg,"P.a. pergamo, il monastero di santa chiara in noceria dei pagani, nocera inferiore, 1961.",NULL,Edificio religioso,No,NULL,40.742856860160835,14.62901271879673
culturale,Corbara,Borgo Sola,Via Franceso Robuffo Giordano,84010,SA,Campania,Cappella,XIX secolo,Moderno,"La cappella di s. erasmo conserva una statua ottocentesca del santo, una tela raffigurante il martirio di s. erasmo ed una statua lignea di s. lucia.",http://spod.databenc.it:44588/images/5d2e753f-cd0a-4928-a53d-442549a18173/Nocera-Inf.-S.Bartolomeo-Ap..jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.72027886286378,14.595392941846512
culturale,Pagani,Pagani Centro Città,Piazza Corpo Di Cristo,84016,SA,Campania,Chiesa,XVI secolo,Moderno,"La chiesa del corpo di cristo,fu costruita nel 1554, solo nel '700 assunse l'aspetto attuale, infatti all'interno si possono trovare dipinti ed affreschi di quell'epoca.",http://spod.databenc.it:45014/images/5d2e753f-cd0a-4928-a53d-442549a18173/luoghi-di-interesse-pagani-chiesa-parrocchiale-del-corpo-di-cristo (1).JPG,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.740850986912854,14.618504345125984
culturale,Pagani,Area Periferica Tra Pagani E Nocera Inferiore,Via Carmine,84016,SA,Campania,Chiesa,XV-XVI secolo,Moderno,Fondata nel 1191 dal duca di nocera francesco zurlo nel '600 fu teatro di sanguinosi scontri. all' inferla,NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.741360606625676,14.62410479754908
culturale,Nocera Superiore,Santa Maria Maggiore,Santa Maria Maggiore,84015,SA,Campania,Battistero paleocristiano,fine V - inizi VI,Tardo antico,Fu costruita dai bizantini nella seconda metà del vi secolo. ripete la struttura del battistero di santa costanza a roma. all'interno è presente una vasca battesimale ottagonale di oltre 7 metri di diametro. nell' edificio vi sono inoltre affreschi del '300 e '400.,https://upload.wikimedia.org/wikipedia/commons/5/59/Nocera1.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74240708723664,14.667694568051957
culturale,Nocera Superiore,NULL,Viale Del Santuario,84015,SA,Campania,Chiesa,XI secolo,Medievale,"La chiesa di s.maria mater domini venne costruita nel 1060 e conservata da papa nicolò ii. affidata ai benedettini, nel 1631 passò ai basiliani, fino alla soppressione nel 1807, quando parte del convento venne destinata al manicomio. della vecchia chiesa sono la tela di guarino del 1615 raffigurante la vergine e altre di francesco solimena.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Struttura religiosa,Si,Parte della struttura divenne un manicomio oggi dismesso,40.753434151411064,14.68718254007399
culturale,Nocera Superiore,Pizzone,Stradale 18,84015,SA,Campania,Museo archeologico,90 a.C.,Antico,"La necrolopi ellenistica venne costruita ai lati di un asse stradale nel i secolo a.c. tra gli edifici funerari annoveriamo quello edificato dalla gens numisia , il mausoled della gens cornelia, con la parte inferiore quadrata, sormontata da un tholos ed infine un edificio simile costruito, però, dalla gens lutate.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio pubblico,Si,Museo cittadino all'aperto,40.74230968952179,14.666014797985556
culturale,Nocera Inferiore,Casolla,Via Casolla,84014,SA,Campania,Chiesa\Cappella,XVIII secolo,Moderno,"La cappella di san nicola, è formata da due piccole cappelle abbinate, la prima delle quali presenta un discreto pavimento ottocentesco di maiolica e un  magnifico soffitto ligneo con al centro una tela del sammartino del 1759.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74244111776352,14.65
culturale,Nocera Inferiore,Borgo,Via Francesco Solimena,84014,SA,Campania,Edificio militare,XVI secolo,Moderno,"Sorto nella seconda metà del '500 il palazzo ducale dei carafa, presentava un maestoso giardino che attualmente è una villa comunale. saccheggiato dal popolo nel 1647 fu abbattuto da  carlo iii nel 1750 per costruire l'attuale caserma tofano, una tra i maggiori edifici in italia.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio militare,No,Abbandonato del tutto,40.74727714061737,14.642561562359333
culturale,Nocera Inferiore,Borgo,Piazza Zonardelli,84014,SA,Campania,Chiesa,XVI secolo,Moderno,"La chiesa del corpo di cristo, fueretta nel 1565 e a causa di molteplici furti, non c'è rimasto molto, se non qualche dipinto di scuola solimenica.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.740450918674476,14.618273321539164
culturale,Pagani,Pagani Centro Città,Piazza S. Alfonso,84016,SA,Campania,Basilica,XIX secolo,Moderno,"Costruita nel 1803, la basilica di s.alfonso  è adornata da vari dipinti del '700 e '800. la struttura segue lo stile neoclassico.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,Parte della chiesa è sede di molto eventi religiosi,40.742347240448,14.610652662813663
culturale,Sant'Egidio del Monte Albino,Sant'Egidio Del Monte Albino,Via Francesco Ferraioli,84010,SA,Campania,Chiesa,1000,Medievale,"Già esistente nel xi secolo, la chiesa della maddalena fu ricostruita tra il 1506 e il 1518. all'interno sono presenti molti quadri e affreschi del '500 e del '600.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.73287233710289,14.604074629023671
culturale,Pagani,Pagani Centro Città,Corso Ettore Padovano,84016,SA,Campania,Chiesa,XVII secolo,Moderno,"La chiesa di santa maria della purità,venne costruita nel 1680 non a caso perchè presenta una fcciata barocca e il pavimento di maionica, l'interno conserva dipinti del solimena.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74144870042801,14.61510295048356
culturale,Pagani,Pagani Centro Città,Via Striano,84016,SA,Campania,Chiesa\Santuario,XVII secolo,Moderno,"Il santuario di maria ss. delle galline, costruito nel '600 presenta ricchi stucchi e decorazioni con un soffitto a cassettoni con 21 tele con soggetto mariano.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74091498351435,14.61880666643388
